time_tag,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,time_tag,density,speed,temperature
2024-09-04 06:43:00.000,-0.27,4.16,7.05,93.78,59.38,8.20,2024-09-04 06:43:00.000,1.49,328.4,20614
2024-09-04 06:44:00.000,-0.64,3.56,7.06,100.16,62.84,7.93,2024-09-04 06:44:00.000,1.10,327.9,16792
2024-09-04 06:45:00.000,-1.29,1.75,7.31,126.49,73.45,7.62,2024-09-04 06:45:00.000,1.71,326.2,19161
2024-09-04 06:46:00.000,-1.09,2.18,6.95,116.61,70.69,7.37,2024-09-04 06:46:00.000,2.32,326.7,21899
2024-09-04 06:47:00.000,-1.07,2.36,6.67,114.41,68.77,7.15,2024-09-04 06:47:00.000,2.51,326.9,22708
2024-09-04 06:48:00.000,-0.12,4.24,5.73,91.58,53.47,7.13,2024-09-04 06:48:00.000,2.28,326.3,26241
2024-09-04 06:49:00.000,-0.45,3.63,6.01,97.12,58.66,7.04,2024-09-04 06:49:00.000,2.05,326.3,27282
2024-09-04 06:50:00.000,-0.86,3.22,6.29,104.90,62.04,7.12,2024-09-04 06:50:00.000,2.73,325.6,23732
2024-09-04 06:51:00.000,-0.47,3.61,6.00,97.42,58.72,7.02,2024-09-04 06:51:00.000,2.90,327.2,25199
2024-09-04 06:52:00.000,-0.44,3.69,5.88,96.87,57.73,6.96,2024-09-04 06:52:00.000,3.09,327.5,24177
2024-09-04 06:53:00.000,-0.54,3.89,6.40,97.87,58.46,7.50,2024-09-04 06:53:00.000,3.08,324.6,22280
2024-09-04 06:54:00.000,-0.23,4.12,6.40,93.22,57.19,7.61,2024-09-04 06:54:00.000,2.21,327.8,24955
2024-09-04 06:55:00.000,0.01,4.14,6.35,89.88,56.95,7.58,2024-09-04 06:55:00.000,2.33,326.1,18976
2024-09-04 06:56:00.000,0.33,4.45,6.04,85.70,53.54,7.51,2024-09-04 06:56:00.000,2.18,325.4,22231
2024-09-04 06:57:00.000,0.62,4.33,5.91,81.90,53.53,7.35,2024-09-04 06:57:00.000,2.36,326.1,20719
2024-09-04 06:58:00.000,0.05,3.68,6.09,89.21,58.89,7.11,2024-09-04 06:58:00.000,2.32,328.8,30139
2024-09-04 06:59:00.000,-0.65,3.40,6.35,100.86,61.40,7.23,2024-09-04 06:59:00.000,2.34,330.9,31067
2024-09-04 07:00:00.000,0.16,3.62,6.17,87.40,59.58,7.15,2024-09-04 07:00:00.000,2.65,330.1,24822
2024-09-04 07:01:00.000,-0.74,3.62,6.19,101.51,59.19,7.21,2024-09-04 07:01:00.000,2.79,327.4,26222
2024-09-04 07:02:00.000,-0.28,3.55,6.25,94.59,60.33,7.19,2024-09-04 07:02:00.000,2.61,327.0,27534
2024-09-04 07:03:00.000,-0.09,3.53,6.26,91.51,60.61,7.19,2024-09-04 07:03:00.000,2.67,326.7,25640
2024-09-04 07:04:00.000,-1.24,4.25,5.76,106.21,52.48,7.27,2024-09-04 07:04:00.000,2.87,326.9,26179
2024-09-04 07:05:00.000,-3.44,5.60,4.27,121.57,32.98,7.84,2024-09-04 07:05:00.000,2.78,329.5,27417
2024-09-04 07:06:00.000,-4.05,5.16,4.85,128.10,36.46,8.16,2024-09-04 07:06:00.000,1.04,327.3,10694
2024-09-04 07:07:00.000,-3.73,5.49,5.33,124.19,38.78,8.51,2024-09-04 07:07:00.000,1.46,331.0,15515
2024-09-04 07:08:00.000,-3.88,4.89,4.18,128.37,33.80,7.51,2024-09-04 07:08:00.000,3.18,346.1,40708
2024-09-04 07:09:00.000,-3.66,4.83,4.36,127.15,35.72,7.47,2024-09-04 07:09:00.000,2.21,335.5,66259
2024-09-04 07:10:00.000,-3.68,4.58,4.64,128.82,38.31,7.49,2024-09-04 07:10:00.000,1.09,319.8,16624
2024-09-04 07:11:00.000,-3.49,4.56,4.85,127.42,40.16,7.52,2024-09-04 07:11:00.000,2.26,320.1,17176
2024-09-04 07:12:00.000,-3.62,4.50,4.87,128.77,40.13,7.55,2024-09-04 07:12:00.000,1.49,322.5,24312
2024-09-04 07:13:00.000,-3.75,4.91,5.06,127.37,39.34,7.99,2024-09-04 07:13:00.000,1.95,320.8,16917
2024-09-04 07:14:00.000,-3.91,4.98,5.01,128.14,38.38,8.07,2024-09-04 07:14:00.000,1.01,329.8,18102
2024-09-04 07:15:00.000,-3.96,4.78,4.75,129.62,37.40,7.82,2024-09-04 07:15:00.000,2.08,324.7,19367
2024-09-04 07:16:00.000,-4.18,4.45,5.57,133.26,42.38,8.27,2024-09-04 07:16:00.000,1.82,322.7,26693
2024-09-04 07:17:00.000,-3.82,5.15,5.72,126.54,41.74,8.59,2024-09-04 07:17:00.000,1.08,327.3,28006
2024-09-04 07:18:00.000,-3.28,5.06,6.30,122.94,46.26,8.72,2024-09-04 07:18:00.000,0.94,327.6,23929
2024-09-04 07:19:00.000,-3.07,5.06,6.77,121.23,48.88,8.99,2024-09-04 07:19:00.000,2.17,331.5,21276
2024-09-04 07:20:00.000,-3.20,5.30,6.55,121.10,46.64,9.01,2024-09-04 07:20:00.000,3.58,341.2,24526
2024-09-04 07:21:00.000,-3.31,5.05,6.66,123.26,47.78,9.00,2024-09-04 07:21:00.000,2.76,337.9,27474
2024-09-04 07:22:00.000,-3.32,5.11,6.63,123.01,47.41,9.01,2024-09-04 07:22:00.000,0.90,324.4,19676
2024-09-04 07:23:00.000,-2.79,5.04,6.89,118.97,50.08,8.98,2024-09-04 07:23:00.000,0.68,324.4,17522
2024-09-04 07:24:00.000,-2.99,4.99,6.91,120.93,49.90,9.04,2024-09-04 07:24:00.000,0.77,324.6,17236
2024-09-04 07:25:00.000,-3.09,5.09,6.82,121.23,48.90,9.05,2024-09-04 07:25:00.000,0.99,324.2,19715
2024-09-04 07:26:00.000,-2.96,5.11,6.88,120.08,49.38,9.07,2024-09-04 07:26:00.000,0.98,324.5,22644
2024-09-04 07:27:00.000,-2.88,5.02,6.76,119.86,49.39,8.90,2024-09-04 07:27:00.000,0.74,322.6,17601
2024-09-04 07:28:00.000,-2.92,4.85,6.50,121.04,48.92,8.62,2024-09-04 07:28:00.000,0.70,324.8,18567
